time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-06-15T09:27:20.100Z,38.5073,-122.6323,7.9,2.6,Md,,32.4,0.06288207,0.15,nc,nc72008535,2013-07-11T16:04:55.936Z,"9km SSW of Calistoga, California",earthquake
2013-06-10T02:55:40.000Z,36.4792,-121.0582,8.4,2.5,Md,,68.4,0.03593261,0.09,nc,nc72005340,2013-06-12T02:27:12.717Z,"24km ENE of Soledad, California",earthquake
2013-06-03T04:37:34.500Z,38.439,-122.2565,7.5,2.5,Md,,68.4,0,0.21,nc,nc72001425,2013-06-27T15:14:30.495Z,"9km ENE of Yountville, California",earthquake
2013-06-01T23:00:46.100Z,38.794,-122.7465,1.4,3.3,Ml,,21.6,0.00898315,0.07,nc,nc72000805,2013-06-18T16:44:09.976Z,"2km NNE of The Geysers, California",earthquake
2013-06-01T20:35:28.400Z,38.7888,-122.762,2,3.3,Ml,,18,0.00898315,0.08,nc,nc72000705,2013-06-24T16:18:35.107Z,"1km NNW of The Geysers, California",earthquake
2013-05-30T06:32:48.800Z,36.9955,-121.4577,9.9,2.7,Md,,46.8,0.03593261,0.12,nc,nc72002806,2013-06-11T05:38:10.671Z,"9km E of Gilroy, California",earthquake
2013-05-29T21:13:36.400Z,36.8155,-121.405,12.4,2.7,Md,,36,0.06288207,0.2,nc,nc72002511,2013-05-30T23:41:07.536Z,"3km W of Ridgemark, California",earthquake
2013-05-27T18:41:54.800Z,37.803,-121.9588,18.9,2.5,Md,,61.2,0.06288207,0.18,nc,nc72001231,2013-11-12T23:45:05.466Z,"3km NNE of San Ramon, California",earthquake
2013-05-26T00:29:01.700Z,38.7893,-122.762,2.2,2.7,Md,,54,0.01796631,0.06,nc,nc72000166,2013-05-26T02:31:29.171Z,"1km NNW of The Geysers, California",earthquake
2013-05-25T10:12:59.500Z,36.7598,-121.5032,10.4,2.7,Md,,39.6,0.00898315,0.19,nc,nc71999621,2013-05-25T11:14:07.011Z,"10km SSE of San Juan Bautista, California",earthquake
2013-05-15T22:15:50.100Z,39.5082,-121.9877,22.6,2.6,Md,,32.4,0.26051143,0.29,nc,nc71992111,2013-05-16T07:15:34.772Z,"17km E of Willows, California",earthquake
2013-05-15T06:11:55.700Z,38.8192,-122.8038,4,3,Md,,43.2,0.00898315,0.07,nc,nc71991736,2013-06-13T15:58:46.273Z,"6km NW of The Geysers, California",earthquake
2013-05-10T05:12:24.900Z,37.3732,-121.7242,8.3,3.5,Mw,,36,0.03593261,0.15,nc,nc71988946,2013-09-18T14:56:54.216Z,"8km E of East Foothills, California",earthquake
2013-05-09T19:39:51.500Z,38.3558,-122.1797,9.9,2.5,Md,,61.2,0.08084838,0.18,nc,nc71988721,2013-09-12T05:25:01.572Z,"11km NE of Napa, California",earthquake
2013-05-06T15:16:22.100Z,38.8395,-122.8302,3,2.6,Md,,32.4,0,0.08,nc,nc71986506,2013-05-06T21:46:13.137Z,"9km WNW of Cobb, California",earthquake
2013-05-03T11:37:23.900Z,36.9593,-121.447,6.7,2.6,Md,,39.6,0.04491576,0.08,nc,nc71984641,2013-05-03T19:43:09.767Z,"11km ESE of Gilroy, California",earthquake
2013-05-02T08:53:05.900Z,36.9648,-121.4538,6.8,2.8,Md,,39.6,0.04491576,0.09,nc,nc71980625,2013-05-03T21:22:10.690Z,"11km ESE of Gilroy, California",earthquake
